id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
S;SUL;2022-01-03 07:00:00;12079.21400000
SE;SUDESTE;2022-01-03 07:00:00;36625.54700000
N;NORTE;2022-01-03 08:00:00;5704.42900000
NE;NORDESTE;2022-01-03 08:00:00;10610.09500000
S;SUL;2022-01-03 08:00:00;13164.20100000
SE;SUDESTE;2022-01-03 08:00:00;39264.03100000
N;NORTE;2022-01-03 09:00:00;5814.29999999
NE;NORDESTE;2022-01-03 09:00:00;10821.88200000
S;SUL;2022-01-03 09:00:00;13577.62599999
SE;SUDESTE;2022-01-03 09:00:00;40877.43599999
N;NORTE;2022-01-03 10:00:00;5804.29000000
NE;NORDESTE;2022-01-03 10:00:00;10994.14199999
S;SUL;2022-01-03 10:00:00;13924.18600000
SE;SUDESTE;2022-01-03 10:00:00;41829.44200000
N;NORTE;2022-01-03 11:00:00;5710.12499999
NE;NORDESTE;2022-01-03 11:00:00;10918.92999999
S;SUL;2022-01-03 11:00:00;14193.75500000
SE;SUDESTE;2022-01-03 11:00:00;42210.78200000
N;NORTE;2022-01-03 12:00:00;5559.52100000
NE;NORDESTE;2022-01-03 12:00:00;10610.02299999
S;SUL;2022-01-03 12:00:00;13803.22099999
SE;SUDESTE;2022-01-03 12:00:00;42277.51199999
N;NORTE;2022-01-03 13:00:00;5648.04999999
NE;NORDESTE;2022-01-03 13:00:00;10850.86599999
S;SUL;2022-01-03 13:00:00;14718.14699999
SE;SUDESTE;2022-01-03 13:00:00;43012.11399999
N;NORTE;2022-01-03 14:00:00;5892.36400000
NE;NORDESTE;2022-01-03 14:00:00;11184.62100000
S;SUL;2022-01-03 14:00:00;15299.88100000
SE;SUDESTE;2022-01-03 14:00:00;43764.14999999
N;NORTE;2022-01-03 15:00:00;6028.43100000
NE;NORDESTE;2022-01-03 15:00:00;11335.45200000
S;SUL;2022-01-03 15:00:00;15455.73900000
SE;SUDESTE;2022-01-03 15:00:00;44379.80500000
N;NORTE;2022-01-03 16:00:00;6066.64400000
NE;NORDESTE;2022-01-03 16:00:00;11239.43599999
S;SUL;2022-01-03 16:00:00;15430.12599999
SE;SUDESTE;2022-01-03 16:00:00;44590.03700000
N;NORTE;2022-01-03 17:00:00;6002.02200000
NE;NORDESTE;2022-01-03 17:00:00;10837.75499999
S;SUL;2022-01-03 17:00:00;14988.89600000
SE;SUDESTE;2022-01-03 17:00:00;43696.16600000
N;NORTE;2022-01-03 18:00:00;5977.94399999
NE;NORDESTE;2022-01-03 18:00:00;11420.67800000
S;SUL;2022-01-03 18:00:00;13906.96900000
SE;SUDESTE;2022-01-03 18:00:00;43957.46100000
N;NORTE;2022-01-03 19:00:00;6142.95899999
NE;NORDESTE;2022-01-03 19:00:00;11663.57100000
S;SUL;2022-01-03 19:00:00;14600.23100000
SE;SUDESTE;2022-01-03 19:00:00;46802.39100000
N;NORTE;2022-01-03 20:00:00;6193.50300000
NE;NORDESTE;2022-01-03 20:00:00;11674.59099999
S;SUL;2022-01-03 20:00:00;15231.72900000
SE;SUDESTE;2022-01-03 20:00:00;46811.49400000
N;NORTE;2022-01-03 21:00:00;6261.72699999
NE;NORDESTE;2022-01-03 21:00:00;12177.29000000
S;SUL;2022-01-03 21:00:00;15443.42400000
SE;SUDESTE;2022-01-03 21:00:00;46007.09700000
N;NORTE;2022-01-03 22:00:00;6336.96199999
NE;NORDESTE;2022-01-03 22:00:00;12236.76899999
S;SUL;2022-01-03 22:00:00;15284.69700000
SE;SUDESTE;2022-01-03 22:00:00;44038.93300000
N;NORTE;2022-01-03 23:00:00;6286.05900000
NE;NORDESTE;2022-01-03 23:00:00;12076.80999999
S;SUL;2022-01-03 23:00:00;14609.93700000
SE;SUDESTE;2022-01-03 23:00:00;41612.28999999
N;NORTE;2022-01-04 00:00:00;6201.49299999
NE;NORDESTE;2022-01-04 00:00:00;11751.72099999
S;SUL;2022-01-04 00:00:00;13736.44200000
SE;SUDESTE;2022-01-04 00:00:00;39313.03100000
N;NORTE;2022-01-04 01:00:00;6073.06200000
NE;NORDESTE;2022-01-04 01:00:00;11340.19000000
S;SUL;2022-01-04 01:00:00;13030.99600000
SE;SUDESTE;2022-01-04 01:00:00;37393.87700000
N;NORTE;2022-01-04 02:00:00;5983.09900000
NE;NORDESTE;2022-01-04 02:00:00;11068.30200000
S;SUL;2022-01-04 02:00:00;12645.75900000
SE;SUDESTE;2022-01-04 02:00:00;36347.21400000
N;NORTE;2022-01-04 03:00:00;5849.53500000
NE;NORDESTE;2022-01-04 03:00:00;10948.28600000
S;SUL;2022-01-04 03:00:00;12418.64900000
SE;SUDESTE;2022-01-04 03:00:00;35767.82099999
N;NORTE;2022-01-04 04:00:00;5765.38100000
NE;NORDESTE;2022-01-04 04:00:00;10800.66000000
S;SUL;2022-01-04 04:00:00;12253.67500000
SE;SUDESTE;2022-01-04 04:00:00;35691.02400000
N;NORTE;2022-01-04 05:00:00;5679.83899999
NE;NORDESTE;2022-01-04 05:00:00;10198.83499999
S;SUL;2022-01-04 05:00:00;12217.61100000
SE;SUDESTE;2022-01-04 05:00:00;35775.80199999
N;NORTE;2022-01-04 06:00:00;5440.47500000
NE;NORDESTE;2022-01-04 06:00:00;10015.19299999
S;SUL;2022-01-04 06:00:00;12240.11800000
SE;SUDESTE;2022-01-04 06:00:00;36492.53300000
N;NORTE;2022-01-04 07:00:00;5365.76100000
NE;NORDESTE;2022-01-04 07:00:00;10519.69500000
S;SUL;2022-01-04 07:00:00;13198.44900000
SE;SUDESTE;2022-01-04 07:00:00;38953.86999999
N;NORTE;2022-01-04 08:00:00;5594.28600000
NE;NORDESTE;2022-01-04 08:00:00;10973.97399999
S;SUL;2022-01-04 08:00:00;14219.25199999
SE;SUDESTE;2022-01-04 08:00:00;41373.99000000
N;NORTE;2022-01-04 09:00:00;5757.67800000
NE;NORDESTE;2022-01-04 09:00:00;11005.50400000
S;SUL;2022-01-04 09:00:00;14497.28599999
SE;SUDESTE;2022-01-04 09:00:00;42653.20799999
N;NORTE;2022-01-04 10:00:00;5846.71200000
NE;NORDESTE;2022-01-04 10:00:00;11139.01399999
S;SUL;2022-01-04 10:00:00;14665.78000000
SE;SUDESTE;2022-01-04 10:00:00;43262.63300000
